name,set,collector_number,usd,usd_foil,eur,eur_foil,diff_abs,diff_pct,diff_abs_foil,diff_pct_foil
Forest,blb,280,0.21,0.75,0.24,0.50,0.03,14.29,-0.25,-33.33
Fury Sliver,tsp,157,0.44,3.79,0.21,1.46,-0.23,-52.27,-2.33,-61.48
Kor Outfitter,zen,21,0.11,1.54,0.10,2.29,-0.01,-9.09,0.75,48.70
Spirit,tmm2,5,0.10,,,,,,,
Siren Lookout,xln,78,0.09,0.26,0.10,0.22,0.01,11.11,-0.04,-15.38
Web,3ed,229,0.73,,0.91,,0.18,24.66,,
Wastewood Verge,pdft,268p,6.15,7.19,6.79,7.24,0.64,10.41,0.05,0.70
Surge of Brilliance,who,57,0.20,4.48,0.29,0.50,0.09,45.00,-3.98,-88.84
Obyra's Attendants // Desperate Parry,woe,63,0.02,0.13,0.09,0.18,0.07,350.00,0.05,38.46
Venerable Knight,eld,35,0.13,0.33,0.12,0.25,-0.01,-7.69,-0.08,-24.24
Wildcall,ugin,146,1.09,,1.34,,0.25,22.94,,
Fell Beast's Shriek // Fell Beast's Shriek,altc,18,0.22,,,,,,,
Mystic Skyfish,m21,326,0.07,,0.11,,0.04,57.14,,
Swamp,jmp,59,0.23,,0.51,,0.28,121.74,,
Swamp,tmp,340,0.46,,0.54,,0.08,17.39,,
Battlewing Mystic,dmu,43,0.07,0.07,0.04,0.07,-0.03,-42.86,0.00,0.00
Birds of Paradise,sld,176,10.42,11.36,9.98,10.50,-0.44,-4.22,-0.86,-7.57
Bronze Horse,me4,186,,,,,,,,
Wall of Vipers,pcy,80,0.17,0.50,0.15,1.66,-0.02,-11.76,1.16,232.00
Admiral Beckett Brass,plst,XLN-217,0.36,,0.22,,-0.14,-38.89,,
Ragged Playmate,dsk,150,0.03,0.13,0.10,0.06,0.07,233.33,-0.07,-53.85
Mulch,c15,191,0.15,,0.16,,0.01,6.67,,
Whiptongue Hydra,c18,36,0.83,,0.64,,-0.19,-22.89,,
Wall of Roots,f08,7,,4.63,,2.10,,,-2.53,-54.64
Pugnacious Hammerskull,plci,208p,0.43,0.90,0.46,0.78,0.03,6.98,-0.12,-13.33
War Historian,mom,214,0.02,0.02,0.02,0.04,0.00,0.00,0.02,100.00
Searing Blaze,plst,WWK-90,0.29,,,,,,,
Siren's Call,ced,78,2.12,,0.63,,-1.49,-70.28,,
Mystical Tutor,dmr,421,13.23,18.24,9.57,14.52,-3.66,-27.66,-3.72,-20.39
Essence Warden,prm,95481,,,,,,,,
Blood Operative,grn,63,0.15,0.34,0.18,0.18,0.03,20.00,-0.16,-47.06
Selvala's Enforcer,cns,40,0.11,,0.10,0.34,-0.01,-9.09,,
Coalstoke Gearhulk,pdft,198s,,1.28,,1.85,,,0.57,44.53
Fresh Meat,nph,109,0.25,1.02,0.35,1.23,0.10,40.00,0.21,20.59
Orzhov Guildgate,gtc,244,0.08,0.69,0.08,0.60,0.00,0.00,-0.09,-13.04
Mortify,ltc,269,0.16,,0.19,,0.03,18.75,,
Bird,totj,7,,,,,,,,
"Narset, Parter of Veils",sld,1141,18.15,19.71,15.23,20.85,-2.92,-16.09,1.14,5.78
Paradise Druid,woc,129,0.18,,0.14,,-0.04,-22.22,,
Run Away Together,woc,108,0.11,,0.09,,-0.02,-18.18,,
Sinew Sliver,tsr,44,0.35,1.74,0.24,1.03,-0.11,-31.43,-0.71,-40.80
Charge,dom,10,0.08,0.49,0.05,0.17,-0.03,-37.50,-0.32,-65.31
Island,eld,255,0.11,0.13,0.07,0.18,-0.04,-36.36,0.05,38.46
Novice Knight,m19,30,0.10,0.71,0.12,0.41,0.02,20.00,-0.30,-42.25
Fallen Askari,vis,59,0.15,,0.11,,-0.04,-26.67,,
Altar's Reap,plst,DDR-37,0.15,,0.13,,-0.02,-13.33,,
"Lavinia, Azorius Renegade",rvr,370,0.39,0.48,0.61,1.54,0.22,56.41,1.06,220.83
"Odric, Master Tactician",c20,96,0.27,,0.27,,0.00,0.00,,
Afflict,ody,115,0.11,0.42,0.06,0.34,-0.05,-45.45,-0.08,-19.05
Crown of Gondor,ltc,75,0.22,,0.29,,0.07,31.82,,
Invisible Stalker,isd,60,0.53,9.29,0.96,5.79,0.43,81.13,-3.50,-37.67
"Dakkon, Shadow Slayer",mh2,192,0.55,1.08,0.59,2.74,0.04,7.27,1.66,153.70
Shahrazad,arn,10,455.00,,319.69,,-135.31,-29.74,,
Destructive Tampering,aer,78,0.02,0.20,0.03,0.15,0.01,50.00,-0.05,-25.00
Mox Jet,30a,556,,,,,,,,
Harmonize,c20,173,0.23,,0.33,,0.10,43.48,,
Nocturnal Raid,mir,132,0.23,,0.08,,-0.15,-65.22,,
Temporal Manipulation,sld,1169,16.28,16.83,16.24,16.40,-0.04,-0.25,-0.43,-2.55
The Convincing General,unk,MZ05a,,,,,,,,
Archon of the Wild Rose,woe,1,0.17,0.24,0.18,0.31,0.01,5.88,0.07,29.17
Vaevictis Asmadi,bchr,89,,,,,,,,
